route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
1,B5LH/Gemini 3,ADL Enviro400H MMC,2,ALEXANDER DENNIS,B5LH/Gemini 3,hybrid,double,2
100,D8UR/Enviro200 MMC EV,,0,,D8UR/Enviro200 MMC EV,electric,double,0
101,BYD B11E02 10.9m,,0,BYD,BYD B11E02 10.9m,electric,double,4
102,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,3,VOLVO,B5LH/Gemini 2,hybrid,double,3
103,Trident/Enviro400,,0,,Trident/Enviro400,diesel,double,0
104,Trident/Enviro400,ADL Enviro400H,1,VOLVO,Trident/Enviro400,diesel,double,3
105,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/Gemini 3,hybrid,double,5
106,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,6,BYD,DD/Enviro400EV City,electric,double,7
107,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,1,,B5LH/Gemini 3,hybrid,double,1
108,D9UR/Enviro200 MMC EV,BYD D8UR-DD ADL Enviro400EV | ADL Enviro400H MMC,3,BYD,D9UR/Enviro200 MMC EV,electric,double,9
108D,,,0,,,,,0
109,E40H/Enviro400H MMC,ADL Enviro400 MMC | ADL Enviro400H MMC,3,,E40H/Enviro400H MMC,hybrid,double,3
11,New Bus for London,,0,,New Bus for London,hybrid,double,0
110,E20D/Enviro200 MMC,ADL Enviro200 MMC,5,,E20D/Enviro200 MMC,diesel,double,5
111,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner | ADL Enviro400 MMC,6,,Streetdeck Electroliner 10.5m,electric,double,6
112,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
113,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,6,,Streetdeck Electroliner 10.5m,electric,double,6
114,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/Gemini 3,hybrid,double,5
115,E40H/Enviro400H MMC,ADL Enviro400H MMC,5,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,5
116,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
117,Citaro K 10.5m,,0,,Citaro K 10.5m,diesel,double,0
119,DD/Enviro400EV City,ADL Enviro400,2,,DD/Enviro400EV City,electric,double,4
12,New Bus for London,,0,,New Bus for London,hybrid,double,0
120,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
