registration,bonnet_no,operator
185CLT,EA5,Arriva
2530,2530,First
2531,2531,First
2532,2532,First
2533,2533,First
2534,2534,First
2535,2535,First
2536,2536,First
2537,2537,First
2538,2538,First
2539,2539,First
2540,2540,First
2541,2541,First
2542,2542,First
2543,2543,First
2544,2544,First
2545,2545,First
2546,2546,First
2547,2547,First
2548,2548,First
2549,2549,First
2550,2550,First
2551,2551,First
2552,2552,First
2553,2553,First
2554,2554,First
2555,2555,First
2556,2556,First
2557,2557,First
2558,2558,First
2559,2559,First
2560,2560,First
2561,2561,First
2562,2562,First
2563,2563,First
2564,2564,First
2565,2565,First
361CLT,DW261,Arriva
593CLT,HV393,Arriva
BD13OHJ,VH45111,First Bus
BD13OHU,VH45101,First Bus
BD13OHV,VH45102,First Bus
BD13OHW,VH45103,First Bus
BD13OHX,VH45104,First Bus
BD13OHY,VH45105,First Bus
BD13OHZ,VH45106,First Bus
BD13OJA,VH45107,First Bus
BD13OJB,VH45108,First Bus
BD13OJC,VH45109,First Bus
BD13OJE,VH45110,First Bus
BD65EVM,WHV83,Go-Ahead
BD65EVN,WHV81,Go-Ahead
BD65EVP,WHV85,Go-Ahead
BD65EVR,WHV84,Go-Ahead
BD65EVT,WHV86,Go-Ahead
BD65EVU,WHV87,Go-Ahead
BD65EVV,WHV101,Go-Ahead
BD65EVW,WHV90,Go-Ahead
BD65EVX,WHV88,Go-Ahead
BD65EVY,WHV89,Go-Ahead
BD65EWA,WHV91,Go-Ahead
BD65EWN,WHV102,Go-Ahead
BD65EWO,WHV93,Go-Ahead
BD65EWP,WHV92,Go-Ahead
BD65EWR,WHV103,Go-Ahead
BD65EWS,WHV94,Go-Ahead
BD65EWT,WHV110,Go-Ahead
BD65EWU,WHV104,Go-Ahead
BD65EWV,WHV98,Go-Ahead
BD65EWW,WHV107,Go-Ahead
BD65EWX,WHV100,Go-Ahead
BD65EWY,WHV95,Go-Ahead
BD65EWZ,WHV96,Go-Ahead
BD65EXA,WHV109,Go-Ahead
BF15KFU,VWH2706,Metroline
BF15KFV,VWH2707,Metroline
BF15KGJ,13079,Stagecoach London
BF15KGK,13061,Stagecoach London
BF15KGN,13062,Stagecoach London
BF15KGO,13080,Stagecoach London
BF15KGP,13063,Stagecoach London
BF15KGU,13064,Stagecoach London
BF15KGV,13065,Stagecoach London
BF15KGX,13066,Stagecoach London
BF15KGY,13067,Stagecoach London
BF15KGZ,13068,Stagecoach London
BF15KHA,13077,Stagecoach London
BF15KHB,13069,Stagecoach London
BF15KHC,13070,Stagecoach London
BF15KHD,13071,Stagecoach London
BF15KHE,13081,Stagecoach London
BF15KHG,13072,Stagecoach London
BF15KHH,13073,Stagecoach London
BF15KHJ,13074,Stagecoach London
BF63HDE,WVL509,Metrobus
BF63HDG,WVL510,Metrobus
BF65WJA,WHV52,Go-Ahead
BF65WJC,WHV63,Go-Ahead
BF65WJD,WHV61,Go-Ahead
BF65WJE,WHV62,Go-Ahead
BF65WJG,WHV71,Go-Ahead
BF65WJJ,WHV67,Go-Ahead
BF65WJK,WHV64,Go-Ahead
BF65WJM,WHV66,Go-Ahead
BF65WJN,WHV65,Go-Ahead
BF65WJO,WHV70,Go-Ahead
BF65WJU,WHV69,Go-Ahead
BF65WJV,WHV68,Go-Ahead
BF65WJX,WHV72,Go-Ahead
BF65WJY,WHV74,Go-Ahead
BF65WJZ,WHV76,Go-Ahead
BF65WKA,WHV73,Go-Ahead
BF65WKB,WHV75,Go-Ahead
BF65WKC,WHV79,Go-Ahead
BF65WKD,WHV78,Go-Ahead
BF65WKE,WHV80,Go-Ahead
BF65WKG,WHV77,Go-Ahead
BF65WLH,WHV82,Go-Ahead
BF67GKD,VH45216,First Bus
BF67GKE,VH45217,First Bus
BF67GKG,VH45218,First Bus
BF67GKJ,VH45219,First Bus
BF67GKK,VH45220,First Bus
BF67GKL,VH45226,First Bus
BF67GKN,VH45228,First Bus
BF67GKO,VH45227,First Bus
BF67GKP,VH45229,First Bus
BF67GKU,VH45230,First Bus
BF67GKV,VH45231,First Bus
BF67GKX,VH45221,First Bus
BF67GKY,VH45222,First Bus
BF67GKZ,VH45233,First Bus
BF67GLJ,VH45234,First Bus
BF67GLK,VH45232,First Bus
BF67GLV,VH45235,First Bus
BF67GLY,VH45236,First Bus
BF67GLZ,VH45223,First Bus
BF67GME,VH45238,First Bus
BF67GMG,VH45237,First Bus
BF67GMO,VH45224,First Bus
BF67GMU,VH45239,First Bus
BF67GMV,VH45241,First Bus
BF67GMX,VH45240,First Bus
BF67GMY,VH45225,First Bus
BF67GMZ,VH45242,First Bus
BF67GNJ,VH45244,First Bus
BF67GNK,VH45243,First Bus
BF67GNN,VH45245,First Bus
BF67GNO,VH45247,First Bus
BF67GNP,VH45251,First Bus
BF67GNU,VH45246,First Bus
BF67GNV,VH45249,First Bus
BF67GNX,VH45248,First Bus
BF67GUD,VH45250,First Bus
BG14ONR,HV181,Arriva
BG14ONS,HV183,Arriva
BG14ONT,HV182,Arriva
BG14ONU,HV185,Arriva
BG14ONV,HV184,Arriva
BG14ONW,HV187,Arriva
BG14ONX,HV186,Arriva
BG14ONZ,HV190,Arriva
BG14OOA,HV188,Arriva
BG14OOB,HV191,Arriva
BG14OOC,HV192,Arriva
BG14OOD,HV189,Arriva
BG59FXC,WVN26,Go-Ahead
BG59FXD,WVN27,Go-Ahead
BG59FXE,WVN28,Go-Ahead
BG59FXF,WVN29,Go-Ahead
BG59FXH,WVN30,Go-Ahead
BG66MHV,MHV81,Go-Ahead
BG66MHX,MHV24,Go-Ahead
BG66MHY,MHV29,Go-Ahead
BJ14KSU,HV177,Arriva
BJ14KSV,HV178,Arriva
BJ14KSX,HV179,Arriva
BJ14KSY,HV180,Arriva
BJ15TVZ,13075,Stagecoach London
BJ15TWA,13076,Stagecoach London
BJ15TWC,13078,Stagecoach London
BJ15TWL,EHV3,Go-Ahead
BJ15TWP,EHV5,Go-Ahead
BK15AZR,EHV1,Go-Ahead
BK15AZT,EHV2,Go-Ahead
BL15HBJ,EHV6,Go-Ahead
BL15HBK,EHV4,Go-Ahead
BL15HBN,EHV16,Go-Ahead
BL15HBO,EHV7,Go-Ahead
BL15HBP,EHV8,Go-Ahead
BL15HBU,EHV9,Go-Ahead
BL15HBX,EHV10,Go-Ahead
BL15HBY,EHV11,Go-Ahead
BL15HBZ,EHV12,Go-Ahead
BL15HCA,EHV13,Go-Ahead
BL15HCC,EHV14,Go-Ahead
BL15HCD,EHV15,Go-Ahead
BL61ACX,WVN47,Go-Ahead
BL61ACY,WVN46,Go-Ahead
BL61ACZ,WVN49,Go-Ahead
BL61ADO,WVN51,Metrobus
BL61ADU,WVN48,Go-Ahead
BL61ADV,WVN50,Metrobus
BL61ADX,WVN52,Metrobus
BL64MHE,VWH2697,Metroline
BL64MHF,VWH2698,Metroline
BL64MHJ,VWH2699,Metroline
BL64MHK,VWH2700,Metroline
BL64MHM,VWH2701,Metroline
BL64MHN,VWH2702,Metroline
BL64MHU,VWH2703,Metroline
BL64MHV,VWH2704,Metroline
BL64MHX,VWH2705,Metroline
BL65OYA,13082,Stagecoach London
BL65OYB,13083,Stagecoach London
BL65OYC,13084,Stagecoach London
BL65OYD,13085,Stagecoach London
BL65OYE,13086,Stagecoach London
BL65OYF,13087,Stagecoach London
BL65OYG,13088,Stagecoach London
BL65OYH,13089,Stagecoach London
BL65OYJ,13090,Stagecoach London
BL65OYK,13091,Stagecoach London
BL65OYM,13092,Stagecoach London
BL65OYN,13093,Stagecoach London
BL65OYO,13094,Stagecoach London
BL65OYP,13095,Stagecoach London
BL65OYR,13096,Stagecoach London
BL65OYT,13097,Stagecoach London
BL65OYU,13098,Stagecoach London
BL65OYV,13099,Stagecoach London
BL65OYW,13100,Stagecoach London
BL65OYX,13101,Stagecoach London
BL65OYY,13102,Stagecoach London
