route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
1,regular,Q,Camberwell,Go-Ahead,,Canada Water,Hampstead Heath,Canada Water Bus Station,South End Green,Canada Water,"Hampstead Heath, South End Green",9.3,10.1,10,0,9.9,14.517,9.02
100,regular,Q,Camberwell,Go-Ahead,,Shadwell,St Paul's,St George's Town Hall / Shadwell Stn,King Edward Street / St Pauls Station,Shadwell,St Paul's,11.3,12.1,11.9,0,12.1,6.484,4.03
101,regular,RR,River Road,Go-Ahead,,Beckton Station,Wanstead,Beckton Bus Station,Woodbine Place,"Beckton Station, Beckton Bus Station","Wanstead, Woodbine Place",11.6,12,11.7,0,12,8.569,5.32
102,twentyfour,AD,Palmers Green,Arriva,,"Brent Cross, Shopping Centre",Edmonton Green,,Edmonton Green Bus Station,"Brent Cross, Shopping Centre",Edmonton Green,7.7,8.2,7.8,30,8.1,19.876,12.35
103,regular,GY,Grays,Arriva,,Rainham Interchange,Chase Cross,Rainham Station,,"Rainham Interchange, Rainham Station",Chase Cross,0,0,0,0,10.4,14.325,8.9
104,regular,RR,River Road,Go-Ahead,,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,7.8,8,7.8,20,7.9,6.739,4.19
105,twentyfour,WK,Hounslow Heath,First,,Heathrow Central,Greenford Station,Heathrow Central Bus Station,,Heathrow Central,Greenford Station,0,0,0,0,11.9,16.122,10.02
106,regular,NP,Northumberland Park,Go-Ahead,,Whitechapel,Finsbury Park Station,Cavell Street,Finsbury Park Interchange,"Whitechapel, Cavell Street","Finsbury Park Station, Finsbury Park Interchange",9.4,10.1,9.8,25,9.9,10.069,6.26
107,regular,PB,Potters Bar,Metroline,,New Barnet Station,Edgware Station,,,New Barnet Station,Edgware Station,0,0,0,0,14.9,18.673,11.6
108,twentyfour,NX,New Cross,Go-Ahead,,Lewisham Station,Stratford International,,Stratford International Station,Lewisham Station,Stratford International,11.2,10.9,10.4,25.9,10.8,17.34,10.77
108D,regular,,,,,,,,,,,,,,,,7.201,4.47
109,regular,BC,Beddington,Transport UK,,Brixton,Croydon Town Centre,Brixton Station,Park Street,Brixton,"Croydon Town Centre, Park Street",0,0,0,0,7.1,11.218,6.97
11,regular,SW,Stockwell,Go-Ahead,,Waterloo,Fulham Broadway,Waterloo Station / Upper Taxi Road,Fulham Town Hall,Waterloo,"Fulham Broadway, Fulham Town Hall",9.5,10,10,0,10,7.619,4.73
110,regular,AV,Hounslow,First,,Hammersmith,"Hounslow, Bus Station",Hammersmith Bus Station,,Hammersmith,"Hounslow, Bus Station",0,0,0,0,20,18.594,11.55
111,twentyfour,TF,Fulwell (Twickenham),Transport UK,,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,0,0,0,0,9.9,25.719,15.98
112,regular,W,Cricklewood,Metroline,,"North Finchley, Tally Ho!",Ealing Broadway,Tally Ho Corner,Haven Green / Ealing Broadway Stn,"North Finchley, Tally Ho!, Tally Ho Corner",Ealing Broadway,9.2,10,9.7,0,10.1,16.992,10.56
113,regular,EW,Edgware,Metroline,,Marble Arch,Edgware,Marble Arch Station,Edgware Station,Marble Arch,Edgware,0,0,0,0,9.8,18.095,11.24
114,regular,UX,Uxbridge Industrial Estate,Metroline,,Ruislip,Mill Hill Broadway,Ruislip Station,Mill Hill Broadway Station,Ruislip,Mill Hill Broadway,0,0,0,0,10,19.113,11.88
115,regular,DS,Henley Road,Go-Ahead,,Aldgate,"East Ham, Central Park",Aldgate Station,,Aldgate,"East Ham, Central Park",7.8,8,7.9,8,8.1,10.83,6.73
